iter	candidate_id	agent	branch	commit	artifact	command	predicted	measured	control	delta_vs_champion	record	run_id	provenance	note
6	probe-smaps-thp	iter06-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	/proc/self/smaps_address-containment_match	-	AnonHugePages_0_pct_at_every_size	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; AnonHugePages/Size = 0.00 pct at 1,2,4,8,16 GiB with KernelPageSize 4 kB, Rss ~ Size. IMPORTANT QUALIFICATION FROM THE IMPLEMENTER: mmap.mmap(-1,n) makes a MAP_SHARED shmem mapping (rw-s, VmFlags sh, /dev/zero deleted), so AnonHugePages is 0 BY CONSTRUCTION for these pools whatever the backing - shmem THP is counted in ShmemPmdMapped and gated by shmem_enabled, not by the enabled=[always] this node reports, and MADV_HUGEPAGE returns EINVAL on the VMA. The refutation stands on the cliff sweep and item 4, NOT on this field
6	champ-smaps	iter06-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	champion_+_live_/proc/pid/smaps_watcher_12_samples_at_30s	7138	7169.728746	7138.199539	+0.44pct	N	35176504/sdfada015/a1746c8f	verified	champion re-measured with a live smaps watcher (pid 1902217); 23.899 GB/s, top of iteration 5 five-run band so the watcher cost nothing. THE DECIDING OBSERVATION: staging pool Rss 3145740 kB of Size 5242920 kB, CONSTANT across all 11 post-allocation samples spanning 330 s - only 3 of 5 buffers are ever touched and NOTHING faults during the window, which rules out first-touch as the champion explanation. Wire pool Rss 100 pct. Locked 0 kB on the pinned pool is expected (cudaHostRegister pins via get_user_pages, not mlock) and is NOT evidence the pin failed
6	probe-variant-abc	iter06-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	nbuf=8_variants_c,a,b,b,c,a_x_pretouch_0/1	-	ALL_THREE_IDENTICAL	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; SIZE, PINNING AND CUDA CONTEXT ALL REFUTED. pretouch=0: 4a 31.879/32.614, 4b 32.040/31.856, 4c 31.804/31.852. pretouch=1: 4a 37.286/37.303, 4b 37.162/37.227, 4c 37.386/37.277 - spread 0.60 pct across all six, INSIDE the 0.6319 pct floor. Pinning verified real (pin_ok=True, pin_s 1.31-1.37 matching the champion 1.047) and context state verified by cuCtxGetCurrent and open nvidia fds: 4a rc=3 NOT_INITIALIZED with no nvidia fds, 4b/4c rc=0. THE GAP SURVIVES: worst probe variant 31.80 vs champion 24.35 GB/s
7	ctrl-a	iter07-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	7150	7139.868377	7096.592202	+0.61pct	N	35176504/sdfada015/a1746c8f	verified	champion opening bracket; read 24.355 GB/s; INSIDE my predicted band 7050-7250
7	c7a-wire-f32	iter07-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--wire-dtype_float32	6300-6700	6732.574519	7096.592202	-5.13pct_steady5_+45.69pct_READ	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSTIC not a candidate (f32 doubles wire bytes so its STEADY5 is lower by construction). THE ROW THAT SOLVED SIX ITERATIONS: read 35.410523 GB/s against the control mean 24.305784, +45.6876 pct, closing the probe-vs-pipeline gap from 12.5 to 1.4 GB/s. The unexplained host read regression was never the drive, the memory or the neighbours - it is the in-thread f32->bf16 cast, whose cost went from +4.24 pct in iteration 3 to +45.7 pct here. Row flips to GPU-bound: sync_wait 71.690 s 34.96 pct, util median 100
7	c7b-convert4	iter07-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_4	8500	9909.201421	7096.592202	+39.633pct	Y	35176504/sdfada015/a1746c8f	verified	NEW CHAMPION, numerics-affecting (bf16 wire). 2.435x the origin median 4069.478. ABOVE my predicted band 7200-9500. Read 34.239527 GB/s = +40.8699 pct; 3 jobs completed in window; read still 98.29-98.38 pct of span and sync_wait 0.10 pct, so it remains read-bound but the read is nearly restored to the no-cast rate. Gate PASS G1 3.634074e-06 G2 1.112192e-05 G3 2.077870e-03 G4 2.257397e-04 all BINDING; span 300.043463; reconcile OK 9230x1GiB; compiles_in_window 0. CAVEAT n=1 - MUST be replicated
7	c7c-convert8	iter07-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_8	8700	7178.470117	7096.592202	+1.154pct	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor and REFUTES my prediction that 4 and 8 would agree. Read 24.475480 GB/s = +0.6982 pct, indistinguishable from the controls and -28.5 pct against convert4. The response to --convert-threads is NON-MONOTONE and unexplained; its pool-backing fields are byte-identical to convert4 so the pools are the same in the fast row and the slow row
7	ctrl-b	iter07-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	7150	7053.316027	7096.592202	-0.61pct	N	35176504/sdfada015/a1746c8f	verified	champion closing bracket; INSIDE the predicted band. BRACKET MOVED -1.2122 pct on steady5 and -0.4020 pct on read over 1888 s - 21.9x smaller than iteration 4 -26.4959 pct step, so this iteration is NOT drift-contaminated, though at 1.92x the 0.6319 pct floor the control level did move about a percent
7	ctrl-newcode	iter07-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_0	7150	7168.601563	7096.592202	+1.015pct	N	35176504/sdfada015/a1746c8f	verified	NEUTRALITY CONTROL at the CANDIDATE SHAs with the feature OFF: +1.0147 pct on steady5 and +0.3462 pct on read against the control mean, inside the spread the two champion controls showed against each other. The two new commits are neutral, so c7b convert4 +39.633 pct is attributable to --convert-threads alone. Also brackets convert8 from the other side (0.1375 pct apart). FIRST ROW TO PRINT THE POOL-BACKING FIELDS: pool_map_kind=shared-anon(shmem), pool_thp_eligible=0, thp_shmem_enabled=[never] - the pools were NEVER THP-eligible, settling iteration 6 open question from the kernel own setting
8	ctrl-a	iter08-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	7100	8985.820487	8085.086629	+11.14pct_vs_ctrl_mean	N	35176504/sdfada015/a1746c8f	verified	champion opening bracket, read 30.68 GB/s - THE ONLY FAST ROW of the iteration and the FIRST ROW AFTER ~7.5 h OF NODE IDLE. My prediction 7000-7200 badly wrong. This row is why the iteration is drift-contaminated
8	c8-convert4-r1	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_4	9900	7115.621628	8085.086629	-11.99pct	N	35176504/sdfada015/a1746c8f	verified	REPLICATION 1 of 3 of the iteration-7 record. read 24.23 GB/s
8	c8-convert8-r2	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_8	slow_24.3-24.6	7178.931710	8085.086629	-11.21pct	N	35176504/sdfada015/a1746c8f	verified	DISCRIMINATING ROW, came back SLOW as predicted: read 24.436 GB/s vs iteration 7 24.48 - a 0.0064 pct difference across two iterations, the most reproducible number in the campaign. But the test assumed convert4 would stay fast and it did not, so convert8 never moved and there was no non-monotonicity to explain
8	c8-convert4-r2	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_4	9900	7129.566577	8085.086629	-11.82pct	N	35176504/sdfada015/a1746c8f	verified	REPLICATION 2 of 3. read 24.26 GB/s
8	c8-convert1	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_1	8200	6547.880969	8085.086629	-19.01pct	N	35176504/sdfada015/a1746c8f	verified	response-curve point; read 22.31 GB/s, WORSE than inline - one converter thread cannot keep up with 16 readers. util median 51
8	c8-convert2	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_2	9400	6926.976258	8085.086629	-14.32pct	N	35176504/sdfada015/a1746c8f	verified	response-curve point; read 23.53 GB/s, still worse than inline. util median 59.5
8	c8-convert6	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_6	9700	7124.139674	8085.086629	-11.89pct	N	35176504/sdfada015/a1746c8f	verified	response-curve point; read 24.41 GB/s, on the 4/6/8 plateau
8	c8-convert4-r3	iter08-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--convert-threads_4	9900	7116.654994	8085.086629	-11.98pct	N	35176504/sdfada015/a1746c8f	verified	REPLICATION 3 of 3. Median of the three 7116.654994, (max-min)/median 0.1959 pct = a THIRD of the noise floor. The setting is one of the most reproducible in the campaign; it just reproduces at 7116, not at 9909
8	ctrl-b	iter08-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	7100	7184.352770	8085.086629	-11.14pct	N	35176504/sdfada015/a1746c8f	verified	champion closing bracket, read 24.49 GB/s, agreeing with iteration 7 both controls and with the whole 4/6/8 plateau. BRACKET ctrl-a -> ctrl-b = -20.0479 pct over 95 min, 32x the floor: ITERATION IS DRIFT-CONTAMINATED and no candidate-vs-control effect size from it is trustworthy (the candidate-vs-candidate curve is, since all eight non-ctrl-a rows sat in one regime)
8	CORRECTION-c7b-convert4	orchestrator	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	correction	supersedes_the_iteration_7_record_row	-	NOT_REPRODUCIBLE	7116.654994	-28.19pct_vs_its_own_repeats	N	35176504/sdfada015/a1746c8f	verified	CORRECTION ROW superseding iteration 7 c7b-convert4 record=Y. That coronation was PROCEDURALLY VALID - measured against a same-iteration control with a bracket that moved only 1.21 pct - but the row does not reproduce: three repeats give 7115.62/7129.57/7116.65, -28.19 pct from 9909.201421. --convert-threads is a NULL (the 0,1,2,4,6,8 curve saturates on the convert-threads-0 baseline) and the iteration-7 margin was MODE LUCK, a fast-regime candidate against slow-regime controls. CHAMPION REVERTS to iteration 3 c3a-bf16
9	ctrl-a	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7150	7162.860776	7157.438565	+0.08pct	N	35176504/sdfada015/a1746c8f	verified	opening control of THREE; read 24.415 GB/s; pool_rss_pct 59.99977, pool_setup_s 2.2e-05, populate_via none
9	c9-populate-r1	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300_--pool-hugepages_populate	8300	7170.026094	7157.438565	+0.203pct	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor. MAP_POPULATE PROVABLY FIRED: pool_rss_pct 59.99977->100.0, pool_setup_s 2.2e-05->2.360763 s, pool_populate_via MAP_POPULATE, pool_rss_at_init_bytes 5368750080, wire pool likewise 100.0/1.13 s, no madvise or populate errors. Iteration 6 +17 pct pre-touch effect DOES NOT TRANSFER to the real store
9	ctrl-mid	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7150	7148.108871	7157.438565	-0.13pct	N	35176504/sdfada015/a1746c8f	verified	MIDDLE control - added this iteration because iteration 8 showed a two-row bracket cannot tell a regime change from a knob
9	c9-populate-r2	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300_--pool-hugepages_populate	8300	7737.059606	7154.727460	+8.139pct	N	35176504/sdfada015/a1746c8f	verified	OUTLIER, NOT A RESULT: +8.139 pct against its bracketing controls but +7.908 pct against its OWN r1 on byte-identical flags with identical pool telemetry. The controls either side agree to 0.19 pct so this is not clock drift - the per-process regime lottery is still live inside candidate rows. Honest reading: populate is a NULL at +0.20 pct and r2 is a lottery draw
9	c9-both	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300_--pool-hugepages_both	same_as_populate	7038.307071	7154.727460	-1.627pct	N	35176504/sdfada015/a1746c8f	verified	SLIGHTLY HARMFUL and did NOT equal populate despite doing strictly more. thp_shmem_enabled printed verbatim as always_within_size_advise_[never]_deny_force with pool_shmem_thp_pct 0.0 and pool_thp_eligible 0, confirming the madvise half is a measured no-op - MY PREDICTION HELD. Unexpected: both reports pool_populate_via MADV_POPULATE_WRITE, a different code path to the same end state
9	c9-numa-interleave	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7150_band_6800-7600	9874.654290	7154.727460	+38.016pct	N	35176504/sdfada015/a1746c8f	verified	THE RESULT OF THE ITERATION, and n=1 so NOT crowned. read 34.226 GB/s, 3 jobs per window instead of 2, +38.016 pct over nearest controls against a three-control spread of 0.2064 pct. THE POOL FLAG WAS OFF (rss 59.99977, setup 2.26e-05, via none) so the gain is PAGE PLACEMENT, not residency. Free memory at launch was 25089/2878/4415/6274 MB on nodes 0/1/2/3 of ~193 GB each - default local allocation lands the pool on whichever node the touching thread is on and three of four are starved. THE FAST REGIME IS NOW REACHABLE ON DEMAND. Replication is iteration 10 first job
9	ctrl-b	iter09-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7150	7161.346048	7157.438565	+0.05pct	N	35176504/sdfada015/a1746c8f	verified	closing control. THE THREE CONTROLS 7162.860776/7148.108871/7161.346048 spread 0.2064 pct over 82 min - INSIDE the 0.6319 pct floor and 97x tighter than iteration 8 -20.05 pct bracket. NOT drift-contaminated; candidate deltas this iteration are usable
10	ctrl-a	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7155	9764.406706	-	FAST_draw	N	35176504/sdfada015/a1746c8f	verified	DEFAULT PLACEMENT CAME BACK FAST with no numactl at all (read 33.865 GB/s, 3 jobs). This row refuted my own reading of iteration 9: the per-process lottery is LIVE under default placement, so iteration 9 clean 0.2064 pct bracket was a lucky draw of three consecutive SLOW controls, not a stable baseline
10	c10-interleave-r1	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	9850	9854.547536	9764.406706	+0.923pct_vs_FAST_ctrl	N	35176504/sdfada015/a1746c8f	verified	FAST. Reproduces iteration 9 interleave row to 0.2011 pct, but only +0.923 pct over a default-placement control that ALSO landed fast - about 1.4x the floor and BELOW the contract 1 pct minimum. Interleave coexists with the fast regime rather than outperforming it
10	c10-membind0	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--membind=0_--cpunodebind=0_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	9700	7091.755889	9764.406706	-27.37pct	N	35176504/sdfada015/a1746c8f	verified	SLOW, and THE MECHANISTIC ROW: confining the pool to node 0 - the ONLY node with real free memory (25070 MB vs 2873/5177/7771) - is the slowest result of the iteration. The mechanism is NOT avoid-the-starved-nodes; the pool must be SPREAD. CPU feasibility confirmed: node 0 contributes 24 CPUs inside the cpuset, more than the 16 reader threads
10	ctrl-mid	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7155	7307.842365	9764.406706	-25.15pct_vs_ctrl-a	N	35176504/sdfada015/a1746c8f	verified	SLOW. THE CONTROL BRACKET BLEW OPEN: byte-identical to ctrl-a 40 min earlier, -25.15 pct, 40x the floor. Free memory unchanged at 24986/2900/5231/7857 MB, so the substrate is constant while the outcome flips - page-count starvation alone is not the switch
10	c10-interleave-r2	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	9850	9859.851000	9764.406706	+0.978pct_vs_FAST_ctrl	N	35176504/sdfada015/a1746c8f	verified	FAST. Replication 2 of 3
10	c10-interleave-pop	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_--pool-hugepages_populate_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	9850	9899.003617	9764.406706	+1.379pct_vs_FAST_ctrl	N	35176504/sdfada015/a1746c8f	verified	FAST and the highest row of the iteration, but inside the interleave band (9854.5-9899.0 spans 0.45 pct) so populate still adds nothing. Its one visible effect: wire_pool_pin_s falls 1.21 -> 0.152 s because the wire pool was already resident. pool_rss_pct 100.0, pool_setup_s 2.499 s, populate_via MAP_POPULATE
10	c10-interleave-r3	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	9850	9881.433265	9764.406706	+1.199pct_vs_FAST_ctrl	N	35176504/sdfada015/a1746c8f	verified	FAST. Replication 3 of 3. THE THREE REPEATS 9854.547536/9859.851000/9881.433265 have median 9859.851 and spread 0.273 pct - INSIDE the 0.6319 pct floor. THE CONFIGURATION REPRODUCES
10	ctrl-b	iter10-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	7155	7122.758700	9764.406706	-27.05pct_vs_ctrl-a	N	35176504/sdfada015/a1746c8f	verified	SLOW. THE THREE CONTROLS 9764.407/7307.842/7122.759 spread 37.1 pct - this iteration is LOTTERY-CONTAMINATED IN THE CONTROLS THEMSELVES, so no single-control candidate delta is meaningful. What IS meaningful is the RATE: interleave 4/4 fast this iteration and 5/5 across iterations 9-10; default 1/3 this iteration, about 3/13 overall; membind0 0/1
10	REPRODUCTION-champion	orchestrator	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	reproduction	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--convert-threads_0_--min-intensity_0_--steady-window-s_300	-	9874.654290_median_n5	-	spread_0.450pct_over_2_iterations	N	35176504/sdfada015/a1746c8f	verified	CONTRACT OBLIGATION SATISFIED. The champion configuration under numactl --interleave=all measured FIVE times across TWO iterations: 9874.654290 (iter09) and 9854.547536/9859.851000/9881.433265/9899.003617 (iter10). Median 9874.654290, min 9854.547536, max 9899.003617, (max-min)/median 0.450 pct, INSIDE the 0.6319 pct floor. The band CONTAINS iteration 3 c3a-bf16 record 9890.775672, so the two agree rather than one superseding the other. NOT record=Y: against the one FAST control the interleave median is +0.98 pct, below the contract 1 pct minimum. Its value is DETERMINISM, not speed
11	ctrl-il-a	iter11-runner	ooc-throughput	lib@ce84d803a8c4efb9791eeee6da256886c0baf93f+bench@fb41d16bbf46675188ec9b1641401083d2f7056d	flag-only	numactl_--interleave=all_+_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--min-intensity_0_--steady-window-s_300_--convert-threads_0	9875	9752.795140	9795.503395	-0.436pct	N	35176504/sdfada015/a1746c8f	verified	opening control, ALL ROWS THIS ITERATION CARRY INTERLEAVE so the regime is held constant rather than bracketed. FAST, read 33.857 GB/s. Slightly below my 9800-9950 band
